lat,lon,sst_c,chl_mg_m3,depth_m,salinity_psu,wind_speed_kmh,wind_direction_deg,wave_height_m,current_velocity_kmh,current_direction_deg,img_0,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8,img_9,img_10,img_11,img_12,img_13,img_14,img_15,temporal_0,temporal_1,temporal_2,temporal_3,temporal_4,temporal_5,temporal_6,temporal_7,hsi,si_sst,si_chl,si_depth,suitability_pred,risk_score
5.0,98.0,30.549,0.70238376,-57.18,32.2875,14.7,28.0,0.4,0.6,342.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.9320965701357458,0.9998079384461821,0.7964817719610551,1.0,0.932026542056543,0.16466666666666666
5.0,98.5,30.553,0.30212823,-78.92,32.44575,7.9,43.0,0.58,1.1,0.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.999925101749216,0.9997753052476479,1.0,1.0,0.9996912951194231,0.14933333333333332
5.0,99.0,30.679,0.2568672,-70.06,32.41075,18.5,83.0,0.64,2.0,350.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.9991466674656708,0.9974400023970127,1.0,1.0,0.9994061316671016,0.23
5.0,99.5,30.453,0.2608916,-69.42,32.0615,7.4,103.0,0.66,1.9,343.0,-0.04781715199351311,-0.018934939056634903,-0.046778298914432526,-0.012134845368564129,-0.04707324504852295,0.005896607879549265,0.029265398159623146,0.04503370076417923,0.0013387793442234397,-0.027069920673966408,-0.013341367244720459,-0.03715593367815018,-0.004191911313682795,0.016821200028061867,0.10164721310138702,0.04142451286315918,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,1.0,1.0,1.0,1.0,0.9998095327101614,0.15933333333333333
5.0,100.0,30.686,0.277699,-45.28,31.475,3.0,308.0,0.64,1.8,336.0,-0.04781715199351311,-0.018934939056634903,-0.046778298914432526,-0.012134845368564129,-0.04707324504852295,0.005896607879549265,0.029265398159623146,0.04503370076417923,0.0013387793442234397,-0.027069920673966408,-0.013341367244720459,-0.03715593367815018,-0.004191911313682795,0.016821200028061867,0.10164721310138702,0.04142451286315918,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.9990787154984352,0.9972361464953057,1.0,1.0,0.999346100923551,0.12666666666666668
5.0,104.0,29.648,0.2551946,-60.46,32.880375,10.1,219.0,0.42,1.9,343.0,0.09878428280353546,0.07746206223964691,0.06336764246225357,0.05532929301261902,0.11635775864124298,0.13763615489006042,0.06712358444929123,0.13386043906211853,0.06521643698215485,0.0155863668769598,0.09279042482376099,0.07825148850679398,0.08690764009952545,0.06739823520183563,0.19534021615982056,0.11337251961231232,0.0066403537057340145,-0.004903870634734631,-0.22924749553203583,-0.35892170667648315,0.6617975234985352,0.6714184284210205,0.8546256422996521,-0.2334562987089157,1.0,1.0,1.0,1.0,0.999780675668673,0.1373333333333333
5.0,104.5,30.303,0.23723045,-67.24,33.06,17.5,197.0,0.62,0.9,0.0,0.09878428280353546,0.07746206223964691,0.06336764246225357,0.05532929301261902,0.11635775864124298,0.13763615489006042,0.06712358444929123,0.13386043906211853,0.06521643698215485,0.0155863668769598,0.09279042482376099,0.07825148850679398,0.08690764009952545,0.06739823520183563,0.19534021615982056,0.11337251961231232,0.0066403537057340145,-0.004903870634734631,-0.22924749553203583,-0.35892170667648315,0.6617975234985352,0.6714184284210205,0.8546256422996521,-0.2334562987089157,1.0,1.0,1.0,1.0,0.9998652180460238,0.21999999999999997
5.0,105.0,30.1,0.21526992,-68.74,33.137,15.9,200.0,0.64,0.9,217.0,0.09878428280353546,0.07746206223964691,0.06336764246225357,0.05532929301261902,0.11635775864124298,0.13763615489006042,0.06712358444929123,0.13386043906211853,0.06521643698215485,0.0155863668769598,0.09279042482376099,0.07825148850679398,0.08690764009952545,0.06739823520183563,0.19534021615982056,0.11337251961231232,0.0066403537057340145,-0.004903870634734631,-0.22924749553203583,-0.35892170667648315,0.6617975234985352,0.6714184284210205,0.8546256422996521,-0.2334562987089157,1.0,1.0,1.0,1.0,0.999824042528913,0.21266666666666667
5.0,105.5,30.057,0.13313775,-78.12,33.282,12.2,207.0,0.6,1.2,207.0,0.09878428280353546,0.07746206223964691,0.06336764246225357,0.05532929301261902,0.11635775864124298,0.13763615489006042,0.06712358444929123,0.13386043906211853,0.06521643698215485,0.0155863668769598,0.09279042482376099,0.07825148850679398,0.08690764009952545,0.06739823520183563,0.19534021615982056,0.11337251961231232,0.0066403537057340145,-0.004903870634734631,-0.22924749553203583,-0.35892170667648315,0.6617975234985352,0.6714184284210205,0.8546256422996521,-0.2334562987089157,0.9918231466180084,1.0,0.9754694398540251,1.0,0.9907212813760264,0.18133333333333332
5.5,97.0,29.866,0.15961292,-448.5,32.87025,1.3,82.0,0.58,0.0,90.0,-0.059755194932222366,-0.05180525779724121,-0.05603727698326111,-0.031669359654188156,-0.0605759434401989,-0.04561392217874527,-0.01843351684510708,0.012109695002436638,-0.030780350789427757,-0.07197527587413788,-0.08338397741317749,-0.055558763444423676,-0.04761139303445816,-0.026883909478783607,0.04965149238705635,0.02538875862956047,0.19519637525081635,-0.3930048942565918,0.07022123783826828,0.32749804854393005,-0.4890846908092499,0.24724970757961273,-0.06295481324195862,-0.393743634223938,0.7481698015647898,1.0,0.9909791771421137,0.25353022755225574,0.7474362099319682,0.10533333333333333
