time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2026-07-15T09:00:00Z,5.0,97.0,NaN
2026-07-15T09:00:00Z,5.0,97.5,NaN
2026-07-15T09:00:00Z,5.0,98.0,30.549
2026-07-15T09:00:00Z,5.0,98.5,30.553
2026-07-15T09:00:00Z,5.0,99.0,30.679000000000002
2026-07-15T09:00:00Z,5.0,99.5,30.453
2026-07-15T09:00:00Z,5.0,100.0,30.686
2026-07-15T09:00:00Z,5.0,100.5,NaN
2026-07-15T09:00:00Z,5.0,101.0,NaN
2026-07-15T09:00:00Z,5.0,101.5,NaN
2026-07-15T09:00:00Z,5.0,102.0,NaN
2026-07-15T09:00:00Z,5.0,102.5,NaN
2026-07-15T09:00:00Z,5.0,103.0,NaN
2026-07-15T09:00:00Z,5.0,103.5,29.309
2026-07-15T09:00:00Z,5.0,104.0,29.648
2026-07-15T09:00:00Z,5.0,104.5,30.303
2026-07-15T09:00:00Z,5.0,105.0,30.1
2026-07-15T09:00:00Z,5.0,105.5,30.057000000000002
2026-07-15T09:00:00Z,5.0,106.0,30.17
2026-07-15T09:00:00Z,5.5,97.0,29.866
2026-07-15T09:00:00Z,5.5,97.5,30.106
2026-07-15T09:00:00Z,5.5,98.0,30.457
2026-07-15T09:00:00Z,5.5,98.5,30.92
2026-07-15T09:00:00Z,5.5,99.0,30.555
2026-07-15T09:00:00Z,5.5,99.5,30.328
2026-07-15T09:00:00Z,5.5,100.0,30.569
2026-07-15T09:00:00Z,5.5,100.5,NaN
2026-07-15T09:00:00Z,5.5,101.0,NaN
2026-07-15T09:00:00Z,5.5,101.5,NaN
2026-07-15T09:00:00Z,5.5,102.0,NaN
2026-07-15T09:00:00Z,5.5,102.5,NaN
2026-07-15T09:00:00Z,5.5,103.0,NaN
2026-07-15T09:00:00Z,5.5,103.5,29.328
2026-07-15T09:00:00Z,5.5,104.0,30.399
2026-07-15T09:00:00Z,5.5,104.5,30.022
2026-07-15T09:00:00Z,5.5,105.0,29.857
2026-07-15T09:00:00Z,5.5,105.5,30.544
2026-07-15T09:00:00Z,5.5,106.0,30.347
2026-07-15T09:00:00Z,6.0,97.0,29.877
2026-07-15T09:00:00Z,6.0,97.5,29.854
2026-07-15T09:00:00Z,6.0,98.0,29.637
2026-07-15T09:00:00Z,6.0,98.5,30.376
2026-07-15T09:00:00Z,6.0,99.0,31.13
2026-07-15T09:00:00Z,6.0,99.5,30.744
2026-07-15T09:00:00Z,6.0,100.0,30.308
2026-07-15T09:00:00Z,6.0,100.5,NaN
2026-07-15T09:00:00Z,6.0,101.0,NaN
