time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2025-12-26T09:00:00Z,13.0,98.0,28.198
2025-12-27T09:00:00Z,13.0,98.0,28.522
2025-12-28T09:00:00Z,13.0,98.0,28.37
2025-12-29T09:00:00Z,13.0,98.0,28.39
2025-12-30T09:00:00Z,13.0,98.0,29.029
2025-12-31T09:00:00Z,13.0,98.0,28.815
2026-01-01T09:00:00Z,13.0,98.0,28.438
2026-01-02T09:00:00Z,13.0,98.0,28.385
2026-01-03T09:00:00Z,13.0,98.0,28.857
2026-01-04T09:00:00Z,13.0,98.0,29.006
2026-01-05T09:00:00Z,13.0,98.0,28.853
2026-01-06T09:00:00Z,13.0,98.0,28.784
2026-01-07T09:00:00Z,13.0,98.0,28.766
2026-01-08T09:00:00Z,13.0,98.0,28.556
2026-01-09T09:00:00Z,13.0,98.0,28.312
2026-01-10T09:00:00Z,13.0,98.0,28.071
2026-01-11T09:00:00Z,13.0,98.0,28.045
2026-01-12T09:00:00Z,13.0,98.0,28.211
2026-01-13T09:00:00Z,13.0,98.0,28.132
2026-01-14T09:00:00Z,13.0,98.0,28.098
2026-01-15T09:00:00Z,13.0,98.0,28.022
2026-01-16T09:00:00Z,13.0,98.0,27.947
2026-01-17T09:00:00Z,13.0,98.0,27.785
2026-01-18T09:00:00Z,13.0,98.0,27.783
2026-01-19T09:00:00Z,13.0,98.0,27.966
2026-01-20T09:00:00Z,13.0,98.0,27.977
2026-01-21T09:00:00Z,13.0,98.0,27.545
2026-01-22T09:00:00Z,13.0,98.0,27.307
2026-01-23T09:00:00Z,13.0,98.0,27.581
2026-01-24T09:00:00Z,13.0,98.0,27.621
2026-01-25T09:00:00Z,13.0,98.0,27.677
2026-01-26T09:00:00Z,13.0,98.0,27.993
2026-01-27T09:00:00Z,13.0,98.0,27.953
2026-01-28T09:00:00Z,13.0,98.0,27.969
2026-01-29T09:00:00Z,13.0,98.0,28.02
2026-01-30T09:00:00Z,13.0,98.0,27.617
2026-01-31T09:00:00Z,13.0,98.0,27.652
2026-02-01T09:00:00Z,13.0,98.0,28.293
2026-02-02T09:00:00Z,13.0,98.0,28.226
2026-02-03T09:00:00Z,13.0,98.0,28.145
2026-02-04T09:00:00Z,13.0,98.0,28.171
2026-02-05T09:00:00Z,13.0,98.0,28.718
2026-02-06T09:00:00Z,13.0,98.0,28.68
2026-02-07T09:00:00Z,13.0,98.0,28.597
2026-02-08T09:00:00Z,13.0,98.0,28.076999999999998
2026-02-09T09:00:00Z,13.0,98.0,28.416
2026-02-10T09:00:00Z,13.0,98.0,28.387
2026-02-11T09:00:00Z,13.0,98.0,28.112000000000002
2026-02-12T09:00:00Z,13.0,98.0,28.056
2026-02-13T09:00:00Z,13.0,98.0,28.156
2026-02-14T09:00:00Z,13.0,98.0,28.814
2026-02-15T09:00:00Z,13.0,98.0,28.732
2026-02-16T09:00:00Z,13.0,98.0,28.76
2026-02-17T09:00:00Z,13.0,98.0,28.938
2026-02-18T09:00:00Z,13.0,98.0,28.88
2026-02-19T09:00:00Z,13.0,98.0,29.426000000000002
2026-02-20T09:00:00Z,13.0,98.0,29.945
2026-02-21T09:00:00Z,13.0,98.0,29.932000000000002
2026-02-22T09:00:00Z,13.0,98.0,29.605
2026-02-23T09:00:00Z,13.0,98.0,29.527
2026-02-24T09:00:00Z,13.0,98.0,29.636
2026-02-25T09:00:00Z,13.0,98.0,29.794
2026-02-26T09:00:00Z,13.0,98.0,29.866
2026-02-27T09:00:00Z,13.0,98.0,29.961
2026-02-28T09:00:00Z,13.0,98.0,29.993000000000002
2026-03-01T09:00:00Z,13.0,98.0,30.0
2026-03-02T09:00:00Z,13.0,98.0,29.881999999999998
2026-03-03T09:00:00Z,13.0,98.0,29.991
2026-03-04T09:00:00Z,13.0,98.0,29.991
2026-03-05T09:00:00Z,13.0,98.0,29.687
2026-03-06T09:00:00Z,13.0,98.0,29.701999999999998
2026-03-07T09:00:00Z,13.0,98.0,29.831
2026-03-08T09:00:00Z,13.0,98.0,29.884
2026-03-09T09:00:00Z,13.0,98.0,29.962
2026-03-10T09:00:00Z,13.0,98.0,30.02
2026-03-11T09:00:00Z,13.0,98.0,29.908
2026-03-12T09:00:00Z,13.0,98.0,29.861
2026-03-13T09:00:00Z,13.0,98.0,29.79
2026-03-14T09:00:00Z,13.0,98.0,29.712
2026-03-15T09:00:00Z,13.0,98.0,29.606
2026-03-16T09:00:00Z,13.0,98.0,29.642
2026-03-17T09:00:00Z,13.0,98.0,29.825
