time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2026-05-15T09:00:00Z,9.5,100.5,30.922
2026-05-16T09:00:00Z,9.5,100.5,31.13
2026-05-17T09:00:00Z,9.5,100.5,31.319
2026-05-18T09:00:00Z,9.5,100.5,31.092
2026-05-19T09:00:00Z,9.5,100.5,30.934
2026-05-20T09:00:00Z,9.5,100.5,30.837
2026-05-21T09:00:00Z,9.5,100.5,30.87
2026-05-22T09:00:00Z,9.5,100.5,30.664
2026-05-23T09:00:00Z,9.5,100.5,30.504
2026-05-24T09:00:00Z,9.5,100.5,30.626
2026-05-25T09:00:00Z,9.5,100.5,30.55
2026-05-26T09:00:00Z,9.5,100.5,30.494
2026-05-27T09:00:00Z,9.5,100.5,30.376
2026-05-28T09:00:00Z,9.5,100.5,30.394
2026-05-29T09:00:00Z,9.5,100.5,30.871000000000002
2026-05-30T09:00:00Z,9.5,100.5,31.407
2026-05-31T09:00:00Z,9.5,100.5,31.472
2026-06-01T09:00:00Z,9.5,100.5,31.984
2026-06-02T09:00:00Z,9.5,100.5,32.178
2026-06-03T09:00:00Z,9.5,100.5,30.834
2026-06-04T09:00:00Z,9.5,100.5,30.831
2026-06-05T09:00:00Z,9.5,100.5,31.085
2026-06-06T09:00:00Z,9.5,100.5,30.715
2026-06-07T09:00:00Z,9.5,100.5,30.724
2026-06-08T09:00:00Z,9.5,100.5,30.745
2026-06-09T09:00:00Z,9.5,100.5,30.739
2026-06-10T09:00:00Z,9.5,100.5,30.698999999999998
2026-06-11T09:00:00Z,9.5,100.5,31.153
2026-06-12T09:00:00Z,9.5,100.5,31.329
2026-06-13T09:00:00Z,9.5,100.5,30.991
2026-06-14T09:00:00Z,9.5,100.5,30.92
2026-06-15T09:00:00Z,9.5,100.5,30.963
2026-06-16T09:00:00Z,9.5,100.5,30.884999999999998
2026-06-17T09:00:00Z,9.5,100.5,30.861
2026-06-18T09:00:00Z,9.5,100.5,30.376
2026-06-19T09:00:00Z,9.5,100.5,30.391
2026-06-20T09:00:00Z,9.5,100.5,30.625
2026-06-21T09:00:00Z,9.5,100.5,30.62
2026-06-22T09:00:00Z,9.5,100.5,30.841
2026-06-23T09:00:00Z,9.5,100.5,31.151
2026-06-24T09:00:00Z,9.5,100.5,31.065
2026-06-25T09:00:00Z,9.5,100.5,30.68
2026-06-26T09:00:00Z,9.5,100.5,30.532
2026-06-27T09:00:00Z,9.5,100.5,30.55
2026-06-28T09:00:00Z,9.5,100.5,30.662
2026-06-29T09:00:00Z,9.5,100.5,30.88
2026-06-30T09:00:00Z,9.5,100.5,30.684
2026-07-01T09:00:00Z,9.5,100.5,30.873
2026-07-02T09:00:00Z,9.5,100.5,31.046
2026-07-03T09:00:00Z,9.5,100.5,30.819
2026-07-04T09:00:00Z,9.5,100.5,30.523
2026-07-05T09:00:00Z,9.5,100.5,30.509999999999998
2026-07-06T09:00:00Z,9.5,100.5,30.061
2026-07-07T09:00:00Z,9.5,100.5,30.825
2026-07-08T09:00:00Z,9.5,100.5,30.941
2026-07-09T09:00:00Z,9.5,100.5,30.964
2026-07-10T09:00:00Z,9.5,100.5,31.081
2026-07-11T09:00:00Z,9.5,100.5,30.916
2026-07-12T09:00:00Z,9.5,100.5,30.695
2026-07-13T09:00:00Z,9.5,100.5,30.88
2026-07-14T09:00:00Z,9.5,100.5,30.398
