time,altitude,latitude,longitude,chlor_a
UTC,m,degrees_north,degrees_east,mg m^-3
2026-06-14T12:00:00Z,0.0,14.006249999999998,96.99374999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,97.48124999999997,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,97.96874999999997,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,98.45624999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,98.94374999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,99.43124999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,99.91874999999997,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,100.40624999999997,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,100.89374999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,101.38124999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,101.86874999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,102.35624999999997,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,102.84374999999997,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,103.33124999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,103.81874999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,104.30624999999998,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,104.79374999999997,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,105.28124999999997,NaN
2026-06-14T12:00:00Z,0.0,14.006249999999998,105.76874999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,96.99374999999998,0.21945633
2026-06-14T12:00:00Z,0.0,13.518749999999997,97.48124999999997,0.26686803
2026-06-14T12:00:00Z,0.0,13.518749999999997,97.96874999999997,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,98.45624999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,98.94374999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,99.43124999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,99.91874999999997,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,100.40624999999997,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,100.89374999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,101.38124999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,101.86874999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,102.35624999999997,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,102.84374999999997,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,103.33124999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,103.81874999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,104.30624999999998,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,104.79374999999997,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,105.28124999999997,NaN
2026-06-14T12:00:00Z,0.0,13.518749999999997,105.76874999999998,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,96.99374999999998,0.19005343
2026-06-14T12:00:00Z,0.0,13.031249999999996,97.48124999999997,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,97.96874999999997,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,98.45624999999998,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,98.94374999999998,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,99.43124999999998,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,99.91874999999997,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,100.40624999999997,1.3553308
2026-06-14T12:00:00Z,0.0,13.031249999999996,100.89374999999998,12.890769
2026-06-14T12:00:00Z,0.0,13.031249999999996,101.38124999999998,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,101.86874999999998,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,102.35624999999997,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,102.84374999999997,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,103.33124999999998,NaN
2026-06-14T12:00:00Z,0.0,13.031249999999996,103.81874999999998,24.393044
