time,latitude,longitude,analysed_sst
UTC,degrees_north,degrees_east,degree_C
2025-12-26T09:00:00Z,9.5,98.0,28.866
2025-12-27T09:00:00Z,9.5,98.0,28.847
2025-12-28T09:00:00Z,9.5,98.0,28.65
2025-12-29T09:00:00Z,9.5,98.0,28.598
2025-12-30T09:00:00Z,9.5,98.0,28.646
2025-12-31T09:00:00Z,9.5,98.0,29.326999999999998
2026-01-01T09:00:00Z,9.5,98.0,29.744
2026-01-02T09:00:00Z,9.5,98.0,29.476
2026-01-03T09:00:00Z,9.5,98.0,29.009999999999998
2026-01-04T09:00:00Z,9.5,98.0,28.991
2026-01-05T09:00:00Z,9.5,98.0,29.099
2026-01-06T09:00:00Z,9.5,98.0,29.009999999999998
2026-01-07T09:00:00Z,9.5,98.0,28.256
2026-01-08T09:00:00Z,9.5,98.0,28.48
2026-01-09T09:00:00Z,9.5,98.0,28.396
2026-01-10T09:00:00Z,9.5,98.0,28.348
2026-01-11T09:00:00Z,9.5,98.0,28.443
2026-01-12T09:00:00Z,9.5,98.0,28.781
2026-01-13T09:00:00Z,9.5,98.0,28.692
2026-01-14T09:00:00Z,9.5,98.0,28.78
2026-01-15T09:00:00Z,9.5,98.0,28.512
2026-01-16T09:00:00Z,9.5,98.0,28.617
2026-01-17T09:00:00Z,9.5,98.0,28.602
2026-01-18T09:00:00Z,9.5,98.0,28.528
2026-01-19T09:00:00Z,9.5,98.0,28.508
2026-01-20T09:00:00Z,9.5,98.0,28.339
2026-01-21T09:00:00Z,9.5,98.0,28.265
2026-01-22T09:00:00Z,9.5,98.0,28.569
2026-01-23T09:00:00Z,9.5,98.0,28.662
2026-01-24T09:00:00Z,9.5,98.0,28.168
2026-01-25T09:00:00Z,9.5,98.0,27.990000000000002
2026-01-26T09:00:00Z,9.5,98.0,29.016
2026-01-27T09:00:00Z,9.5,98.0,29.11
2026-01-28T09:00:00Z,9.5,98.0,29.039
2026-01-29T09:00:00Z,9.5,98.0,28.857
2026-01-30T09:00:00Z,9.5,98.0,29.032
2026-01-31T09:00:00Z,9.5,98.0,29.076999999999998
2026-02-01T09:00:00Z,9.5,98.0,28.381
2026-02-02T09:00:00Z,9.5,98.0,28.524
2026-02-03T09:00:00Z,9.5,98.0,28.793
2026-02-04T09:00:00Z,9.5,98.0,28.908
2026-02-05T09:00:00Z,9.5,98.0,29.019
2026-02-06T09:00:00Z,9.5,98.0,29.466
2026-02-07T09:00:00Z,9.5,98.0,29.108
2026-02-08T09:00:00Z,9.5,98.0,28.863
2026-02-09T09:00:00Z,9.5,98.0,29.406
2026-02-10T09:00:00Z,9.5,98.0,29.435000000000002
2026-02-11T09:00:00Z,9.5,98.0,29.517
2026-02-12T09:00:00Z,9.5,98.0,29.367
2026-02-13T09:00:00Z,9.5,98.0,29.045
2026-02-14T09:00:00Z,9.5,98.0,28.753
2026-02-15T09:00:00Z,9.5,98.0,28.862000000000002
2026-02-16T09:00:00Z,9.5,98.0,29.594
2026-02-17T09:00:00Z,9.5,98.0,29.618000000000002
2026-02-18T09:00:00Z,9.5,98.0,29.636
2026-02-19T09:00:00Z,9.5,98.0,29.521
